headline,date,web_url,lead_paragraph,section,keywords
"U.S. Helicopters Sink 3 Houthi Boats in Red Sea, Pentagon Says",2024-01-01T00:53:23+0000,https://www.nytimes.com/2023/12/31/world/middleeast/us-houthi-clash.html,"A clash between Iranian-backed Houthi fighters who were attacking a commercial freighter and U.S. Navy helicopters responding to the ship’s distress call ended on Sunday morning with the killing of all the crew members on three Houthi boats, the Pentagon said, a sharp escalation of violence at a moment when the White House is considering direct strikes on Iran’s proxies in the Middle East.",World,"['Israel-Gaza War (2023- )', 'Ships and Shipping', 'Freight (Cargo)', 'United States Defense and Military Forces', 'International Relations']"
"In Times Square, Hundreds of Thousands Ring In 2024",2024-01-01T02:09:45+0000,https://www.nytimes.com/2023/12/31/nyregion/times-square-new-years-eve.html,"Hundreds of thousands of people crowded into Times Square on Sunday night to ring in the New Year, amid heightened security and scattered demonstrations in Midtown Manhattan over the Israel-Hamas war.",New York,"['New Year', 'Demonstrations, Protests and Riots', 'Israel-Gaza War (2023- )', 'Two Thousand Twenty Four']"
"Half of Gazans Are at Risk of Starving, U.N. Warns",2024-01-01T05:01:23+0000,https://www.nytimes.com/2024/01/01/world/middleeast/gaza-israel-hunger.html,"Walaa Zaiter’s four children have been hungry for weeks, but she can barely find them food.",World,"['Israel-Gaza War (2023- )', 'Food Insecurity', 'Palestinians', 'Refugees and Displaced Persons']"
Monday Briefing,2024-01-01T05:49:05+0000,https://www.nytimes.com/2024/01/01/briefing/israel-relationship-ukraine-denmark.html,"No other episode in the past half-century has tested the ties between the U.S. and Israel so significantly as the current war in Gaza. President Biden’s initial resolve to stand by Israel has given way to frustrating phone calls, sharp public comments and exhausting marathon meetings as the relationship has grown fraught.",Briefing,[]
Israel Says It Will Pull Several Brigades From Gaza Strip,2024-01-01T13:44:22+0000,https://www.nytimes.com/2024/01/01/world/middleeast/israel-gaza-troop-withdrawal.html,"The Israeli military said on Monday that it would begin withdrawing several thousand troops from the Gaza Strip at least temporarily, in what was  the most significant publicly announced reduction since the war with Hamas began.",World,"['Israel-Gaza War (2023- )', 'Defense and Military Forces', 'Refugees and Displaced Persons']"
That Numbness You’re Feeling? There’s a Word for It.,2024-01-01T14:00:13+0000,https://www.nytimes.com/2024/01/01/opinion/israel-war-empathy-pain.html,"In mid-October, a few days after the attack on Israel, a friend sent me a text from a rabbi. She said she couldn’t look away from the horror on the news but felt completely numb. She was struggling to feel even the tiniest bit useful: “What can I even do?”",Opinion,"['Empathy', 'Psychology and Psychologists', 'Muslim Americans', 'Jews and Judaism', 'Israel-Gaza War (2023- )']"
A Gaza Mayor’s View of the Conflict,2024-01-01T16:00:07+0000,https://www.nytimes.com/2024/01/01/opinion/letters/gaza-mayor.html,To the Editor:,Opinion,"['Israel-Gaza War (2023- )', 'Social Media', 'War Crimes, Genocide and Crimes Against Humanity', 'Palestinians', 'Abortion', 'Abortion Drugs', 'Anti-Semitism', 'Russian Invasion of Ukraine (2022)', 'Dogs', 'Pets', 'International Relations']"
Tuesday Briefing: Israel’s Top Court Rejects Move to Limit It,2024-01-01T20:41:37+0000,https://www.nytimes.com/2024/01/01/briefing/israel-judicial-overhaul-japan-earthquake-china-us.html,"Israel’s Supreme Court narrowly struck down a law proposed by Prime Minister Benjamin Netanyahu that was meant to limit the court’s own powers. The momentous ruling, which was decided by a majority of eight judges to seven, could ignite a constitutional crisis.",Briefing,[]
Israel’s Top Court Strikes Down Move to Curb Its Powers,2024-01-01T22:08:55+0000,https://www.nytimes.com/2024/01/01/world/middleeast/israel-supreme-court-netanyahu.html,"Israel’s Supreme Court on Monday struck down a law limiting its own powers, a momentous step in the legal and political crisis that gripped the country before the war with Hamas, and pitted the court against Prime Minister Benjamin Netanyahu’s right-wing government.",World,"['Decisions and Verdicts', 'Politics and Government', 'Israel-Gaza War (2023- )', 'Law and Legislation', 'Demonstrations, Protests and Riots']"
What Israel’s Supreme Court Justices Wrote in Their Landmark Ruling,2024-01-01T22:55:13+0000,https://www.nytimes.com/2024/01/01/world/middleeast/israel-supreme-court-justices-ruling.html,The eight Israeli justices who struck down a key part of the judicial overhaul on Monday argued that they had little choice given the law’s potential danger to Israeli democracy.,World,"['Courts and the Judiciary', 'Israel-Gaza War (2023- )']"
